"","dataset","group","algorithm","paths","ids","Institution","Model_organism","Age","Brain_region","Cell_type","Labeling_general","Labeling_acronym","Microscopy","Planar"
"4967","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_WED_SLP_PN_neuron.v3dpbd.ano_stamp_2015_06_16_18_08.swc_resampled.swc.radius.swc_sorted.swc","252","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5038","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_AL_GNG_LH_neuron.v3dpbd.ano_stamp_2015_06_16_16_59.swc_resampled.swc.radius.swc_sorted.swc","253","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5058","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_ILP_PN_neuron.v3dpbd.ano_stamp_2015_06_16_17_22.swc_resampled.swc.radius.swc_sorted.swc","254","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5105","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_lAPT_PN1_neuron.v3dpbd.ano_stamp_2015_06_16_17_47.swc_resampled.swc.radius.swc_sorted.swc","255","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5130","p_checked6_human_allen_confocal","Gold_Standard","0","00_sorted_Cell1_40x_1.0umstep_H15.06.005.07.02_cell1.oif.files.v3dpbd_stamp_2015_06_17_13_47.swc_sorted.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","256","Allen Institute","Human",NA,NA,"Pyramidal","LY","LY","Confocal","3D"
"5192","p_checked6_human_allen_confocal","Gold_Standard","0","00_sorted_m16_cing_1_9_cropped_neurona.v3dpbd.ano_stamp_2015_06_16_16_29.swc_resampled.swc.radius.swc_sorted.swc","257","Allen Institute","Human",NA,NA,"Pyramidal","LY","LY","Confocal","3D"
"5213","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0664_seg.v3dpbd.ano_stamp_2015_06_17_12_21.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","258","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5314","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0663_seg.v3dpbd.ano_stamp_2015_06_16_17_40.swc_resampled.swc.radius.swc_sorted.swc","259","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5383","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0965_seg.v3dpbd.ano_stamp_2015_06_17_12_41.swc_sorted.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","260","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5443","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0970_seg.v3dpbd.swc_resampled.swc.radius.swc_sorted.swc","261","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5525","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0661_seg.v3dpbd.ano_stamp_2015_06_16_17_21.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","262","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5552","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0984_seg.v3dpbd.swc_resampled.swc.radius.swc_sorted.swc","263","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5655","p_checked6_silkmoth_utokyo","Gold_Standard","0","00_sorted_0986_seg.v3dpbd.swc_resampled.swc.radius.swc_sorted.swc","264","U Tokio","Silkmoth","2–7 d after eclosion",NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"5738","e_checked6_chick_uw","Gold_Standard","0","00_sorted_fix-P7-4.5h-cell1-60x-zoom1.5_merge_c2.v3dpbd.ano_stamp_2015_06_16_15_42.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","265","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5800","e_checked6_chick_uw","Gold_Standard","0","00_sorted_10-2912-s1-cell1_merge_c2.v3dpbd.ano_stamp_2015_06_16_13_32.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","266","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5806","e_checked6_chick_uw","Gold_Standard","0","00_sorted_fix-P7-4.5h-cell2-60x-zoom1.5_merge_c2.v3dpbd.ano_stamp_2015_06_16_16_25_sorted.swc_resampled.swc.radius.swc_sorted.swc","267","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5842","e_checked6_chick_uw","Gold_Standard","0","00_sorted_case1-slide2-section2-left-cell3_merge_c2.v3dpbd.ano_stamp_2015_07_15_12_48.swc_resampled.swc.radius.swc_sorted.swc","268","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5891","e_checked6_chick_uw","Gold_Standard","0","00_sorted_09-2902-04R-01C-60x_merge_c1.v3dpbd.ano_stamp_2015_06_15_15_16.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","269","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5961","e_checked6_chick_uw","Gold_Standard","0","00_sorted_10-2900-control-cell-05.oif-C0.v3dpbd.ano_stamp_2015_06_15_15_47.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","270","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"5990","e_checked6_chick_uw","Gold_Standard","0","00_sorted_case1-slide2-section1-left-cell1_merge_c2.v3dpbd.ano_stamp_2015_06_15_18_49.swc_resampled.swc.radius.swc_sorted.swc","271","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"6057","e_checked6_chick_uw","Gold_Standard","0","00_sorted_10-2909-s5-left-cell3_merge_c2.v3dpbd_stamp_2015_06_15_17_50.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","272","UW","Chicken","postnatal 4 to 10 days","nucleus laminaris in the auditory brainstem","Principal neurons","Alexa-488","Alexa-488","Confocal","3D"
"6109","p_checked6_mouse_culturedcell_Cambridge_in_vivo_2_photon_PAGFP","Gold_Standard","0","00_sorted_neuron2.v3dpbd.ano_stamp_2015_06_16_16_16.swc_resampled.swc.radius.swc_sorted.swc","273","UCambridge","Mouse","3 month","auditory cortex, layer 2/3","excitatory neurons","TG","TG-PA-GFP","2-photon","3D"
"6124","p_checked6_mouse_culturedcell_Cambridge_in_vivo_2_photon_PAGFP","Gold_Standard","0","00_sorted_neuron4.v3dpbd.ano_stamp_2015_06_16_18_29.swc_resampled.swc.radius.swc_sorted.swc","274","UCambridge","Mouse","3 month","auditory cortex, layer 2/3","excitatory neurons","TG","TG-PA-GFP","2-photon","3D"
"6160","p_checked6_zebrafish_adult_RGC_UW","Gold_Standard","0","00_sorted_1_10_Ch2.tif_uint8.v3dpbd.ano_stamp_2015_06_15_15_03.swc_resampled.swc.radius.swc_sorted.swc","275","UW","Zebrafish","Adult","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","2D"
"6251","p_checked6_zebrafish_adult_RGC_UW","Gold_Standard","0","00_sorted_1_8_Ch2.tif_uint8.v3dpbd.ano_stamp_2015_06_15_14_41.swc_resampled.swc.radius.swc_sorted.swc","276","UW","Zebrafish","Adult","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","2D"
"6300","p_checked6_zebrafish_adult_RGC_UW","Gold_Standard","0","00_sorted_1_9_Ch2.tif_uint8.v3dpbd_stamp_2015_06_15_18_11.swc_resampled.swc.radius.swc_sorted.swc","277","UW","Zebrafish","Adult","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","2D"
"6396","p_checked6_zebrafish_adult_RGC_UW","Gold_Standard","0","00_sorted_1_6_Ch2.tif_uint8.v3dpbd_stamp_2015_06_15_18_12.swc_resampled.swc.radius.swc_sorted.swc","278","UW","Zebrafish","Adult","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","2D"
"6433","p_checked6_zebrafish_adult_RGC_UW","Gold_Standard","0","00_sorted_1_2_Ch2.tif_uint8.v3dpbd_stamp_2015_06_15_18_12.swc_resampled.swc.radius.swc_sorted.swc","279","UW","Zebrafish","Adult","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","2D"
"6521","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_3_CL-I_MT_X_MYR-GFP_ddaE_MT-mCherry_membrane-GFP.czi_C_1.tif.v3dpbd.ano_stamp_2015_06_16_13_05.swc_resampled.swc.radius.swc_sorted.swc","280","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6560","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_3_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi_C_1.tif_uint8.v3dpbd.ano_stamp_2015_06_17_11_39.swc_resampled.swc.radius.swc_sorted.swc","281","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6611","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_Result_of_C1-CL-I_X-Mas__x_OregonR_ddaD_F-actinGFP_MT-Red.tif.v3dpbd.ano_stamp_2015_06_17_10_44.swc_resampled.swc.radius.swc_sorted.swc","282","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6668","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_2_CL-III_X_Myr-GFP_v_pda_MT-mCherry_membrane-GFP_A_1024.czi_C_1.tif.v3dpbd.ano_stamp_2015_06_15_16_23.swc_resampled.swc.radius.swc_sorted.swc","283","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6718","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_Result_of_C1-CL-I_X-Mas__x_OregonR_ddaE_F-actinGFP_MT-Red.tif.v3dpbd.ano_stamp_2015_06_15_17_11.swc_resampled.swc.radius.swc_sorted.swc","284","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6760","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaD_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd.ano_stamp_2015_06_17_09_59.swc_resampled.swc.radius.swc_sorted.swc","285","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6872","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_3_CL-I_MT_X_MYR-GFP_ddaD_MT-mCherry_membrane-GFP.czi_C_1.tif.v3dpbd.ano_stamp_2015_06_17_11_24.swc_resampled.swc.radius.swc_sorted.swc","286","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6909","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_1_CL-I_X_OREGON_R_ddaE_membrane-GFP.tif.v3dpbd.ano_stamp_2015_06_15_18_17.swc_resampled.swc.radius.swc_sorted.swc","287","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"6962","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_1_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi-C_1.tif_uint8.v3dpbd.ano_stamp_2015_06_15_14_48.swc_resampled.swc.radius.swc_sorted.swc","288","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"7014","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaE_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd.ano_stamp_2015_06_16_13_01.swc_resampled.swc.radius.swc_sorted.swc","289","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"7082","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_C1-left_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_17_12_53.swc_resampled.swc.radius.swc_sorted.swc","29","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7159","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_3_CL-IV_x_Ank2-IR_ddaC_membrane-B.tif.v3dpbd_stamp_2015_06_16_18_22.swc_resampled.swc.radius.swc_sorted.swc","290","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"7272","p_checked6_fruitfly_larvae_gmu","Gold_Standard","0","00_sorted_1_CL-I_X_OREGON_R_ddaD_membrane-GFP.tif.v3dpbd.ano_stamp_2015_06_16_12_16.swc_resampled.swc.radius.swc_sorted.swc","291","GMU","Fruitfly","Larvae",NA,"Class I-IV","TG","TG-membrane-Factin-GFP","Confocal","2D"
"7292","p_checked6_human_allen_confocal","Gold_Standard","0","00_sorted_confocal.v3draw.ano_stamp_2015_07_15_15_51.swc_resampled.swc.radius.swc_sorted.swc","292","Allen Institute","Human",NA,NA,"Pyramidal","LY","LY","Confocal","3D"
"7370","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_1.v3dpbd.ano_stamp_2015_06_16_13_37.swc_resampled.swc.radius.swc_sorted.swc","30","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7407","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A7-right_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_17_10_33.swc_resampled.swc.radius.swc_sorted.swc","31","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7466","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20110929_1_B4-left_optic_lobe.v3draw.extract_1.v3dpbd.ano_stamp_201506_17_11_10.swc_resampled.swc.radius.swc_sorted.swc","32","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7518","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_1_C4-right_optic_lobe.v3draw.extract_3.v3dpbd.ano_stamp_2015_06_17_10_20.swc_resampled.swc.radius.swc_sorted.swc","34","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7559","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111103_2_D3-left_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_10_05.swc_resampled.swc.radius.swc_sorted.swc","37","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7602","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_C7-left_optic_lobe.v3draw.extract_3.v3dpbd.ano_stamp_2015_06_17_12_09.swc_resampled.swc.radius.swc_sorted.swc","38","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7681","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-left_optic_lobe.v3draw.extract_6.v3dpbd.ano_stamp_2015_06_17_10_58.swc_resampled.swc.radius.swc_sorted.swc","39","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7755","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A5-left_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_16_16_35.swc_resampled.swc.radius.swc_sorted.swc","40","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7872","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E2-right_optic_lobe.v3draw.extract_3.v3dpbd.ano_stamp_2015_06_17_12_38.swc_resampled.swc.radius.swc_sorted.swc","41","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7910","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_D2-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_12_51.swc_resampled.swc.radius.swc_sorted.swc","43","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"7993","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_B3-right_optic_lobe.v3draw.extract_5.v3dpbd_stamp_2015_06_17_10_23.swc_resampled.swc.radius.swc_sorted.swc","45","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8035","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_09.swc_resampled.swc.radius.swc_sorted.swc","47","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8113","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-x-A02-20110411_1_D4-left_optic_lobe.v3draw.extract_8.v3dpbd.ano_stamp_2015_06_17_12_18.swc_resampled.swc.radius.swc_sorted.swc","5","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8194","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_E1-right_optic_lobe.v3draw.extract_4.v3dpbd.ano_stamp_2015_06_17_11_48.swc_resampled.swc.radius.swc_sorted.swc","52","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8234","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_F3-left_optic_lobe.v3draw.extract_6.v3dpbd.ano_stamp_2015_06_17_12_23.swc_resampled.swc.radius.swc_sorted.swc","53","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8315","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_D1-left_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_55.swc_resampled.swc.radius.swc_sorted.swc","54","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8358","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-x-A02-20110612_1_B1-right_optic_lobe.v3draw.extract_7.v3dpbd.ano_stamp_2015_06_17_12_08.swc_resampled.swc.radius.swc_sorted.swc","55","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8419","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_1.v3dpbd.ano_stamp_2015_06_15_18_06.swc_resampled.swc.radius.swc_sorted.swc","58","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8502","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E2-left_optic_lobe.v3draw.extract_4.v3dpbd.ano_stamp_2015_06_17_12_41.swc_resampled.swc.radius.swc_sorted.swc","6","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8613","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A4-left_optic_lobe.v3draw.extract_5.v3dpbd.ano_stamp_2015_06_16_16_21.swc_resampled.swc.radius.swc_sorted.swc","65","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8663","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111004_3_E2-left_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_10_58.swc_resampled.swc.radius.swc_sorted.swc","67","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8768","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E1-right_optic_lobe.v3draw.extract_9.v3dpbd.ano_stamp_2015_06_17_12_45.swc_resampled.swc.radius.swc_sorted.swc","69","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8786","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A2-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_15_18_21.swc_resampled.swc.radius.swc_sorted.swc","7","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8855","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111005_1_B5-left_optic_lobe.v3draw.extract_3.v3dpbd.ano_stamp_2015_06_17_09_54.swc_resampled.swc.radius.swc_sorted.swc","74","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8906","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_4.v3dpbd.ano_stamp_2015_06_15_18_10.swc_resampled.swc.radius.swc_sorted.swc","76","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"8983","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_F3-right_optic_lobe.v3draw.extract_10.v3dpbd.ano_stamp_2015_06_17_11_58.swc_resampled.swc.radius.swc_sorted.swc","77","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9017","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_G2-right_optic_lobe.v3draw.extract_1.v3dpbd_stamp_2015_06_17_10_49.swc_resampled.swc.radius.swc_sorted.swc","78","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9089","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A6-left_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_16_18_18.swc_resampled.swc.radius.swc_sorted.swc","8","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9133","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_4.v3dpbd.ano_stamp_2015_06_15_18_57.swc_resampled.swc.radius.swc_sorted.swc","84","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9222","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_6.v3dpbd_stamp_2015_06_16_15_44.swc_resampled.swc.radius.swc_sorted.swc","85","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9325","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_F3-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_10_27.swc_resampled.swc.radius.swc_sorted.swc","86","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9364","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-right_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_17_11_33.swc_resampled.swc.radius.swc_sorted.swc","9","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9439","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E4-right_optic_lobe.v3draw.extract_2.v3dpbd.ano_stamp_2015_06_17_12_31.swc_resampled.swc.radius.swc_sorted.swc","90","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"9494","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_C6-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_18.swc_resampled.swc.radius.swc_sorted.swc","91","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
