"","path","id","format"
"259","./checked3_silkmoth_utokyo/0663_seg/0663_seg.v3dpbd",259,".v3dpbd"
"260","./checked3_silkmoth_utokyo/0965_seg/0965_seg.v3dpbd",260,".v3dpbd"
"261","./checked3_silkmoth_utokyo/hard_0970_seg/0970_seg.v3dpbd",261,".v3dpbd"
"262","./checked3_silkmoth_utokyo/0661_seg/0661_seg.v3dpbd",262,".v3dpbd"
"263","./checked3_silkmoth_utokyo/hard_0984_seg/0984_seg.v3dpbd",263,".v3dpbd"
"264","./checked3_silkmoth_utokyo/hard_0986_seg/0986_seg.v3dpbd",264,".v3dpbd"
"265","./checked3_chick_uw/fix-P7-4.5h-cell1-60x-zoom1.5_merge_c2/fix-P7-4.5h-cell1-60x-zoom1.5_merge_c2.v3dpbd",265,".v3dpbd"
"266","./checked3_chick_uw/err_10-2912-s1-cell1_merge_c2/10-2912-s1-cell1_merge_c2.v3dpbd",266,".v3dpbd"
"267","./checked3_chick_uw/fix-P7-4.5h-cell2-60x-zoom1.5_merge_c2/fix-P7-4.5h-cell2-60x-zoom1.5_merge_c2.v3dpbd",267,".v3dpbd"
"268","./checked3_chick_uw/case1-slide2-section2-left-cell3_merge_c2/case1-slide2-section2-left-cell3_merge_c2.v3dpbd",268,".v3dpbd"
"269","./checked3_chick_uw/09-2902-04R-01C-60x_merge_c1/09-2902-04R-01C-60x_merge_c1.v3dpbd",269,".v3dpbd"
"270","./checked3_chick_uw/10-2900-control-cell-05.oif-C0/10-2900-control-cell-05.oif-C0.v3dpbd",270,".v3dpbd"
"271","./checked3_chick_uw/case1-slide2-section1-left-cell1_merge_c2/case1-slide2-section1-left-cell1_merge_c2.v3dpbd",271,".v3dpbd"
"272","./checked3_chick_uw/10-2909-s5-left-cell3_merge_c2/10-2909-s5-left-cell3_merge_c2.v3dpbd",272,".v3dpbd"
"273","./checked3_mouse_culturedcell_Cambridge_in_vivo_2_photon_PAGFP/neuron2/neuron2.v3dpbd",273,".v3dpbd"
"274","./checked3_mouse_culturedcell_Cambridge_in_vivo_2_photon_PAGFP/neuron4/neuron4.v3dpbd",274,".v3dpbd"
"275","./checked3_zebrafish_adult_RGC_UW/hard_1_10_Ch2/1_10_Ch2.tif_uint8.v3dpbd",275,".v3dpbd"
"276","./checked3_zebrafish_adult_RGC_UW/1_8_Ch2/1_8_Ch2.tif_uint8.v3dpbd",276,".v3dpbd"
"277","./checked3_zebrafish_adult_RGC_UW/1_9_Ch2/1_9_Ch2.tif_uint8.v3dpbd",277,".v3dpbd"
"278","./checked3_zebrafish_adult_RGC_UW/1_6_Ch2/1_6_Ch2.tif_uint8.v3dpbd",278,".v3dpbd"
"279","./checked3_zebrafish_adult_RGC_UW/1_2_Ch2/1_2_Ch2.tif_uint8.v3dpbd",279,".v3dpbd"
"280","./checked3_fruitfly_larvae_gmu/err_3_CL-I_MT_X_MYR-GFP_ddaE_MT-mCherry_membrane-GFP.czi_C_1/3_CL-I_MT_X_MYR-GFP_ddaE_MT-mCherry_membrane-GFP.czi_C_1.tif.v3dpbd",280,".v3dpbd"
"281","./checked3_fruitfly_larvae_gmu/err_3_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi_C_1/3_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi_C_1.tif_uint8.v3dpbd",281,".v3dpbd"
"282","./checked3_fruitfly_larvae_gmu/Result_of_C1-CL-I(X-Mas)_x_OregonR_ddaD_F-actinGFP_MT-Red/Result_of_C1-CL-I(X-Mas)_x_OregonR_ddaD_F-actinGFP_MT-Red.tif.v3dpbd",282,".v3dpbd"
"283","./checked3_fruitfly_larvae_gmu/2_CL-III_X_Myr-GFP_v'pda_MT-mCherry_membrane-GFP_A_1024.czi_C_1/2_CL-III_X_Myr-GFP_v'pda_MT-mCherry_membrane-GFP_A_1024.czi_C_1.tif.v3dpbd",283,".v3dpbd"
"284","./checked3_fruitfly_larvae_gmu/Result_of_C1-CL-I(X-Mas)_x_OregonR_ddaE_F-actinGFP_MT-Red/Result_of_C1-CL-I(X-Mas)_x_OregonR_ddaE_F-actinGFP_MT-Red.tif.v3dpbd",284,".v3dpbd"
"285","./checked3_fruitfly_larvae_gmu/2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaD_Membrane-GFP_F-Actin-Red.czi_C_1/2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaD_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd",285,".v3dpbd"
"286","./checked3_fruitfly_larvae_gmu/3_CL-I_MT_X_MYR-GFP_ddaD_MT-mCherry_membrane-GFP.czi_C_1/3_CL-I_MT_X_MYR-GFP_ddaD_MT-mCherry_membrane-GFP.czi_C_1.tif.v3dpbd",286,".v3dpbd"
"287","./checked3_fruitfly_larvae_gmu/1_CL-I_X_OREGON_R_ddaE_membrane-GFP/1_CL-I_X_OREGON_R_ddaE_membrane-GFP.tif.v3dpbd",287,".v3dpbd"
"288","./checked3_fruitfly_larvae_gmu/1_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi-C_1/1_CL-III_X_LifeActRuby_vpda_membrane-GFP_actin-LifeActRuby.czi-C_1.tif_uint8.v3dpbd",288,".v3dpbd"
"289","./checked3_fruitfly_larvae_gmu/2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaE_Membrane-GFP_F-Actin-Red.czi_C_1/2_CL-I_Membrane-GFP_X_F-Actin-Red_ddaE_Membrane-GFP_F-Actin-Red.czi_C_1.tif.v3dpbd",289,".v3dpbd"
"290","./checked3_fruitfly_larvae_gmu/3_CL-IV_x_Ank2-IR_ddaC_membrane-B/3_CL-IV_x_Ank2-IR_ddaC_membrane-B.tif.v3dpbd",290,".v3dpbd"
"291","./checked3_fruitfly_larvae_gmu/1_CL-I_X_OREGON_R_ddaD_membrane-GFP/1_CL-I_X_OREGON_R_ddaD_membrane-GFP.tif.v3dpbd",291,".v3dpbd"
"292","./checked3_mouse_ugoettingen/Confocal/confocal.v3draw",292,".v3draw"
"293","./checked3_mouse_ugoettingen/Brightfield/brightfield.v3draw",293,".v3draw"
